,title,imdb_title_identifier,distributor_name,budget,release_date,worldwide_gross,genres,mpaa_rating,running_time
444,Avengers: Endgame,tt4154796,Walt Disney Studios Motion Pictures,356000000.0,2019-04-26,2797800564,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",PG-13,3 hr 1 min
6763,Avatar,tt0499549,Twentieth Century Fox,237000000.0,2009-12-18,2743856300,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",PG-13,2 hr 42 min
2859,Star Wars: Episode VII - The Force Awakens,tt2488496,Walt Disney Studios Motion Pictures,245000000.0,2015-12-18,2068223624,"['Action', 'Adventure', 'Sci-Fi']",PG-13,2 hr 18 min
1121,Avengers: Infinity War,tt4154756,Walt Disney Studios Motion Pictures,0.0,2018-04-27,2048359754,"['Action', 'Adventure', 'Sci-Fi']",PG-13,2 hr 29 min
12666,Titanic,tt0120338,Paramount Pictures,200000000.0,1997-12-19,1843221532,"['Drama', 'Romance']",PG-13,3 hr 14 min
3248,Jurassic World,tt0369610,Universal Pictures,150000000.0,2015-06-12,1670400637,"['Action', 'Adventure', 'Sci-Fi']",PG-13,2 hr 4 min
333,The Lion King,tt6105098,Walt Disney Studios Motion Pictures,260000000.0,2019-07-19,1656713458,"['Adventure', 'Animation', 'Drama', 'Family', 'Musical']",PG,1 hr 58 min
5393,The Avengers,tt0848228,Walt Disney Studios Motion Pictures,220000000.0,2012-05-04,1518812988,"['Action', 'Adventure', 'Sci-Fi']",PG-13,2 hr 23 min
3380,Furious 7,tt2820852,Universal Pictures,190000000.0,2015-04-03,1515047671,"['Action', 'Adventure', 'Thriller']",PG-13,2 hr 17 min
195,Frozen II,tt4520988,Walt Disney Studios Motion Pictures,0.0,2019-11-22,1450026933,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",PG,1 hr 43 min
